dataset,class,class_label,unit,geometry,mentions,docs,split,family,cls,as_named,aliases
national statistical,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,official statistics series,"{""non_spatial"": 1, ""admin_linked"": 1}",national statistical data,
national uganda phone survey,admin_linked,named area,urban / rural split,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""admin_linked"": 2}",national Uganda phone survey,
national waste management plan and action plan,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",2016 National Waste Management Plan and Action Plan,
national water resources assessment,national_spatial_derived,mapped / satellite,country only,unknown,2,1,False,"named source, family not stated","{""national_spatial_derived"": 2}",National Water Resources Assessment,
national wealth ranking,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""unclear"": 1, ""admin_linked"": 1}",national wealth ranking data,
nationally representative household survey,unclear,place not stated,—,no — aggregate,2,2,True,"household or phone survey, official statistics series","{""non_spatial"": 1, ""unclear"": 1}",nationally representative household survey,
ncd country profile,admin_linked,named area,district / sub-county,unknown,2,2,True,"named source, family not stated","{""admin_linked"": 1, ""non_spatial"": 1}",NCD Country Profile,
ndhs,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""unclear"": 2}",NDHS 2017,
nea mis,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",NEA MIS,
nissa,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",NISSA data,
notre dame global adaptation initiative (nd-gain) country index,admin_linked,named area,country only,no — aggregate,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",the Notre Dame Global Adaptation Initiative (ND-GAIN) Country Index,
notre dame global adaptation initiative index,non_spatial,no place,—,no — aggregate,2,2,False,"named source, family not stated","{""non_spatial"": 2}",Notre Dame Global Adaptation Initiative index,
nsds mid-term review,admin_linked,named area,province / region / state,unknown,2,1,True,"named source, family not stated","{""unclear"": 1, ""admin_linked"": 1}",NSDS mid-term review,
observation,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"named source, family not stated","{""unclear"": 1, ""point_geocoded"": 1}",observation data,
oenb euro survey,admin_linked,named area,country only,no — aggregate,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",OeNB Euro Survey,
operations,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",operations database,
opinion polls,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""admin_linked"": 2}",opinion polls,
ops table basic,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",OPS_TABLE_BASIC_DATA,
osinergmin,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",OSINERGMIN,
panama public financial management information system,non_spatial,no place,—,no — aggregate,2,2,False,"named source, family not stated","{""non_spatial"": 2}",Panama Public Financial Management Information System,
pastoralist surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""unclear"": 2}",Pastoralist surveys,
patient survey for service availability and user experience,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""unclear"": 2}",patient survey for service availability and user experience,
pcbs statistics,admin_linked,named area,not stated,unknown,2,1,True,official statistics series,"{""admin_linked"": 1, ""non_spatial"": 1}",PCBS statistics,
pensions,admin_linked,named area,country only,no — aggregate,2,2,True,registry / administrative database,"{""admin_linked"": 1, ""unclear"": 1}",pensions database,
periodic statistics data by economic activity,non_spatial,no place,—,no — aggregate,2,1,False,official statistics series,"{""non_spatial"": 2}",periodic statistics data by economic activity,
pid for adana,admin_linked,named area,country only,no — aggregate,2,1,False,"named source, family not stated","{""admin_linked"": 2}",PID for Adana,
pisa,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""admin_linked"": 1, ""non_spatial"": 1}",PISA 2018,
police records,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 1, ""point_geocoded"": 1}",Police records,
population register,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"household or phone survey, official statistics series","{""admin_linked"": 1, ""unclear"": 1}",population register,
population-based survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, official statistics series, registry / administrative database","{""unclear"": 2}",population-based survey,
portfolio,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,monitoring / tracking system,"{""unclear"": 2}",portfolio data,
post-disaster needs assessment,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,official statistics series,"{""non_spatial"": 1, ""admin_linked"": 1}",Post-Disaster Needs Assessment,
poverty mapping exercise,admin_linked,named area,country only,yes — coordinates or a layer exists,2,2,False,mapped layer / geospatial product,"{""admin_linked"": 2}",poverty mapping exercise,
poverty maps,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""admin_linked"": 2}",poverty maps,
poverty status report,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",Poverty Status Report 2021,
poverty survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,"household or phone survey, registry / administrative database","{""unclear"": 2}",poverty survey,
pre-covid survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",pre-COVID survey,
pre-covid-19 field estimates,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",Pre-Covid-19 field estimates,
preliminary surveys,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1, ""point_geocoded"": 1}",preliminary surveys,
primary data from ppa,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",Primary data from PPA,
primary school census,admin_linked,named area,point,maybe — needs the survey's own geography,2,2,False,"household or phone survey, facility / asset / infrastructure records","{""admin_linked"": 2}",Annual Primary School Census 2017,
procurement,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",procurement data,
procurement capacity and risk assessment,admin_linked,named area,local (ward/village/camp/kebele),unknown,2,2,True,"named source, family not stated","{""admin_linked"": 1, ""non_spatial"": 1}",procurement capacity and risk assessment,
procurement monitoring report,non_spatial,no place,—,no — aggregate,2,2,False,monitoring / tracking system,"{""non_spatial"": 2}",procurement monitoring report,
producer price survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, official statistics series","{""unclear"": 2}",producer price survey,
program,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""unclear"": 1, ""non_spatial"": 1}",program data,
programme for international student assessment,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 1, ""non_spatial"": 1}",2022 Programme for International Student Assessment,
progress reports,unclear,place not stated,—,unknown,2,2,True,registry / administrative database,"{""unclear"": 1, ""non_spatial"": 1}",Progress reports,
project engagement surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, monitoring / tracking system","{""unclear"": 2}",Project engagement surveys,
project m&e,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,"household or phone survey, registry / administrative database","{""non_spatial"": 1, ""unclear"": 1}",Project M&E database,
project m&e reports,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""non_spatial"": 1, ""unclear"": 1}",Project M&E reports,
project progress reports and survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"household or phone survey, registry / administrative database","{""admin_linked"": 2}",Project Progress Reports and Survey Data,
project reports participant lists,non_spatial,no place,—,unknown,2,1,False,"named source, family not stated","{""non_spatial"": 2}","Project reports, participant lists",
project s,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,registry / administrative database,"{""unclear"": 2}",Project’s database,
project-specific,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",project-specific data,
public expenditure and financial accountability,admin_linked,named area,country only,no — aggregate,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",2019 Public Expenditure and Financial Accountability,
quantitative,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""admin_linked"": 2}",quantitative data,
quantitative data collection,admin_linked,named area,local (ward/village/camp/kebele),unknown,2,2,False,"official statistics series, facility / asset / infrastructure records","{""admin_linked"": 2}",quantitative data collection,
quantitative service delivery survey,admin_linked,named area,point,maybe — needs the survey's own geography,2,2,True,"household or phone survey, monitoring / tracking system, facility / asset / infrastructure records","{""unclear"": 1, ""admin_linked"": 1}",Quantitative Service Delivery Survey,
quarterly monitoring campaigns,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"registry / administrative database, monitoring / tracking system, facility / asset / infrastructure records","{""admin_linked"": 2}",quarterly monitoring campaigns,
quarterly progress report,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 2}",Quarterly progress report,
rams,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 2}",RAMS,
rapid assessment of male refugees from syria,unclear,place not stated,—,unknown,2,2,True,"named source, family not stated","{""unclear"": 1, ""non_spatial"": 1}",rapid assessment of male refugees from Syria,
rapid facility assessment,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,True,"named source, family not stated","{""admin_linked"": 1, ""point_geocoded"": 1}",rapid facility assessment,
rapid needs assessment,admin_linked,named area,not stated,unknown,2,2,False,"named source, family not stated","{""admin_linked"": 2}",Rapid Needs Assessment,
rapid response phone survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,"household or phone survey, monitoring / tracking system","{""unclear"": 1, ""non_spatial"": 1}",Rapid Response Phone Survey data,
rapp,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"named source, family not stated","{""admin_linked"": 2}",RAPP,
rapport d etat du syst me educatif national (resen),unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,"official statistics series, registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 1, ""unclear"": 1}","Rapport d’Etat du Système Educatif National (RESEN), 2016",RESEN 2019
reach household survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,"household or phone survey, official statistics series","{""unclear"": 2}",REACH household survey,
records of cdr,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"named source, family not stated","{""admin_linked"": 2}",records of CDR,
registry of beneficiaries,non_spatial,no place,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""non_spatial"": 2}",registry of beneficiaries,
registry of expenses and payments,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""admin_linked"": 1, ""non_spatial"": 1}",registry of expenses and payments,
regular reports of cash transfers service providers,non_spatial,no place,—,unknown,2,1,False,"named source, family not stated","{""non_spatial"": 2}",regular reports of cash transfers service providers,
reniec,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,registry / administrative database,"{""unclear"": 2}",RENIEC,
report,non_spatial,no place,—,unknown,2,2,False,official statistics series,"{""non_spatial"": 2}",Annual Report 2018,
report by government-led programs,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",Annual report by the government-led programs,
reports from ngos supporting sani boyah,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",reports from NGOs supporting the Sani Boyah,
results framework,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""unclear"": 1}",results framework data,
ridership,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,household or phone survey,"{""point_geocoded"": 2}",Ridership data,
rifaskes,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"named source, family not stated","{""admin_linked"": 2}",_Rifaskes_ 2019,
risk and resilience assessment,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",Risk and Resilience Assessment,
road,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"household or phone survey, registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 1, ""point_geocoded"": 1}",road database,
road accident,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 2}",road accident database,
road financing study,non_spatial,no place,—,unknown,2,1,False,facility / asset / infrastructure records,"{""non_spatial"": 2}",road financing study,
road inventory,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,False,"registry / administrative database, facility / asset / infrastructure records","{""point_geocoded"": 2}",road inventory,
road safety,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"registry / administrative database, facility / asset / infrastructure records","{""admin_linked"": 1, ""point_geocoded"": 1}",road safety data,
road user satisfaction survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"household or phone survey, facility / asset / infrastructure records","{""admin_linked"": 2}",Road User Satisfaction Survey,
routine surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""unclear"": 2}",routine surveys,
sadc regional statistics project,non_spatial,no place,—,unknown,2,2,False,official statistics series,"{""non_spatial"": 2}",SADC Regional Statistics Project,
sample based household survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""admin_linked"": 2}",Sample based household Survey,
sample household surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, official statistics series","{""unclear"": 2}",sample household surveys,
scd,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""unclear"": 1, ""admin_linked"": 1}",the 2015 SCD,
school-level cpd attendance registers,admin_linked,named area,point,maybe — needs the survey's own geography,2,1,False,facility / asset / infrastructure records,"{""admin_linked"": 2}",school-level CPD attendance registers,
sctp mis,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,True,"household or phone survey, registry / administrative database","{""admin_linked"": 1, ""unclear"": 1}",SCTP MIS,
sdg 4 country dashboard kenya,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"official statistics series, monitoring / tracking system","{""non_spatial"": 1, ""admin_linked"": 1}",SDG 4 Country Dashboard: Kenya,
sdg7 tracking report,non_spatial,no place,—,unknown,2,1,False,monitoring / tracking system,"{""non_spatial"": 2}",The SDG7 tracking report,
sector,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,"monitoring / tracking system, facility / asset / infrastructure records","{""non_spatial"": 2}",sector data,
sensing,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,False,"satellite / raster / index, household or phone survey","{""point_geocoded"": 2}",sensing data,
serological surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""unclear"": 2}",serological surveys,
service delivery indicator,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""point_geocoded"": 1}",Service Delivery Indicator,
service delivery indicator survey,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,True,"household or phone survey, facility / asset / infrastructure records","{""point_geocoded"": 1, ""admin_linked"": 1}",Service Delivery Indicator Survey,
sex-disaggregated ict,unclear,place not stated,—,unknown,2,2,True,"official statistics series, monitoring / tracking system","{""non_spatial"": 1, ""unclear"": 1}",sex-disaggregated ICT data,
sigrhap,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",SIGRHAP,
sigrid,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,registry / administrative database,"{""unclear"": 2}",SIGRID,
sinadef,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",SINADEF,
sinpad,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,registry / administrative database,"{""unclear"": 2}",SINPAD,
sirage,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",SIRAGE,
sisar,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",SISAR database,
sisar s data base,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",SISAR’s data base,
siuben,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",SIUBEN database,
skills survey for refugees in ethiopia,non_spatial,no place,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""non_spatial"": 2}",Skills Survey for Refugees in Ethiopia,
skis,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""admin_linked"": 2}",SKIs,
smart survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""unclear"": 2}",SMART Survey,
smart surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""unclear"": 2}",SMART surveys,
social,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""unclear"": 2}",social data,
social accounting matrix,non_spatial,no place,—,no — aggregate,2,1,False,official statistics series,"{""non_spatial"": 2}",Social Accounting Matrix,
social survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""unclear"": 2}",social survey,
social surveys,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,"household or phone survey, monitoring / tracking system","{""unclear"": 2}",social surveys,
sociodemographic information of system users,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,True,"named source, family not stated","{""non_spatial"": 1, ""unclear"": 1}",sociodemographic information of system users,
south sudan macro-poverty outlook,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,"named source, family not stated","{""non_spatial"": 1, ""admin_linked"": 1}",South Sudan Macro-Poverty Outlook,
sphf (piu),non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""non_spatial"": 2}",SPHF (PIU),PIU
sr nhif module,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, registry / administrative database","{""unclear"": 2}",SR NHIF module,
state water resources users registry,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,registry / administrative database,"{""point_geocoded"": 2}",State Water Resources Users Registry,
statistical capacity indicators,non_spatial,no place,—,no — aggregate,2,1,False,official statistics series,"{""non_spatial"": 2}",Statistical Capacity Indicators,
statistics education yearbook,non_spatial,no place,—,maybe — needs the survey's own geography,2,1,False,"official statistics series, registry / administrative database, facility / asset / infrastructure records","{""non_spatial"": 2}",Statistics Education Yearbook 2019-2010,
statistics of industry and construction,non_spatial,no place,—,unknown,2,1,False,official statistics series,"{""non_spatial"": 2}",statistics of industry and construction,
statistics of tourism and transport,unclear,place not stated,—,unknown,2,1,True,official statistics series,"{""non_spatial"": 1, ""unclear"": 1}",statistics of tourism and transport,
statistics on formal employment creation,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,official statistics series,"{""admin_linked"": 1, ""non_spatial"": 1}",statistics on formal employment creation,
statistics on social marginalization and others,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,True,official statistics series,"{""non_spatial"": 1, ""unclear"": 1}",statistics on social marginalization and others,
step complaint module,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",STEP complaint module,
steps survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""unclear"": 2}",STEPS 2015 survey,
study undertaken by world bank/ministry of local government (mol,admin_linked,named area,district / sub-county,unknown,2,2,False,"named source, family not stated","{""admin_linked"": 2}",The recent study undertaken by the World Bank/Ministry of Local Government (MoLG) on LED,
sunarp,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",SUNARP,
sunat,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",SUNAT,
supervision reports,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,"named source, family not stated","{""point_geocoded"": 2}",Supervision Reports,
survey administered before covid-19,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""unclear"": 1, ""non_spatial"": 1}",survey administered before COVID-19,
survey by research ict africa,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",survey by Research ICT Africa,
survey conducted by world bank,admin_linked,named area,not stated,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""admin_linked"": 2}",survey conducted by the World Bank,
survey of 422 msme owners,non_spatial,no place,—,no — aggregate,2,1,False,household or phone survey,"{""non_spatial"": 2}",Survey of 422 MSME owners,
survey of a sample of residents,admin_linked,named area,not stated,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""admin_linked"": 2}",survey of a sample of residents,
survey of environmental and social information,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,household or phone survey,"{""admin_linked"": 2}",baseline survey of environmental and social information,
survey of free zone companies,unclear,place not stated,—,no — aggregate,2,1,False,"household or phone survey, official statistics series","{""unclear"": 2}",Survey of free zone companies,
survey of micro and small enterprises,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",survey of micro and small enterprises,
survey of refugee settlements,admin_linked,named area,point,no — aggregate,2,2,False,household or phone survey,"{""admin_linked"": 2}",survey of refugee settlements,
survey reports,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""unclear"": 1, ""non_spatial"": 1}",Survey reports,
surveys by pcbs,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""non_spatial"": 2}",Surveys by the PCBS,
surveys of beneficiary households,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""unclear"": 1, ""admin_linked"": 1}",surveys of beneficiary households,
susalud,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",SUSALUD,
systematic tracking of exchanges in procurement,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,monitoring / tracking system,"{""non_spatial"": 2}",Systematic tracking of Exchanges in Procurement,
t rkiye economic monitor,admin_linked,named area,country only,maybe — needs the survey's own geography,2,1,False,"named source, family not stated","{""admin_linked"": 2}",Türkiye Economic Monitor,
tanroads,unclear,place not stated,—,unknown,2,1,False,facility / asset / infrastructure records,"{""unclear"": 2}",TANROADS,
tcketng records,unclear,place not stated,—,yes — coordinates or a layer exists,2,1,False,"household or phone survey, mapped layer / geospatial product","{""unclear"": 2}",tcketng records,
teacher certification databases,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,registry / administrative database,"{""unclear"": 2}",teacher certification databases,
ticket sales,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,household or phone survey,"{""point_geocoded"": 2}",ticket sales data,
ticketing and fare card,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,facility / asset / infrastructure records,"{""point_geocoded"": 2}",ticketing and fare card data,
tpm,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""admin_linked"": 1, ""unclear"": 1}",TPM,
tracer study reports and,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",Tracer study reports and data,
tracer survey,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,"household or phone survey, registry / administrative database","{""non_spatial"": 1, ""unclear"": 1}",Tracer survey database,
traffic counts,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,2,False,"household or phone survey, official statistics series, facility / asset / infrastructure records","{""point_geocoded"": 2}",traffic counts,
traffic data and census report,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,household or phone survey,"{""point_geocoded"": 2}",traffic data and census report,
traffic survey,point_geocoded,exact point,not stated,maybe — needs the survey's own geography,2,2,False,"household or phone survey, facility / asset / infrastructure records","{""point_geocoded"": 2}",traffic survey,
training attendance records,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""unclear"": 2}",Training attendance records,
training attendance records and capacity-building reports,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"household or phone survey, registry / administrative database","{""unclear"": 2}",Training attendance records and capacity-building reports,
training program reports,unclear,place not stated,—,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""unclear"": 1}",training program reports,
transport operator ridership records,point_geocoded,exact point,point,yes — coordinates or a layer exists,2,1,False,"named source, family not stated","{""point_geocoded"": 2}",Transport operator ridership records,
trends in international mathematics and science study,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,"household or phone survey, facility / asset / infrastructure records","{""non_spatial"": 2}",Trends in International Mathematics and Science Study,
turkish red crescent (trc) livelihoods survey,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",Turkish Red Crescent (TRC) Livelihoods Survey,
tvet mis,unclear,place not stated,—,unknown,2,1,False,"named source, family not stated","{""unclear"": 2}",TVET MIS,
ubos census,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,2,2,False,household or phone survey,"{""admin_linked"": 2}",UBOS 2020 census data,
ubos labour force surveys,non_spatial,no place,—,maybe — needs the survey's own geography,2,2,False,"household or phone survey, official statistics series","{""non_spatial"": 2}",UBOS Labour Force Surveys,
uganda - repositioning local governments for economic growth,admin_linked,named area,not stated,unknown,2,2,True,"named source, family not stated","{""admin_linked"": 1, ""unclear"": 1}",Uganda - Repositioning local governments for economic growth,
uganda national population and housing census,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,2,1,True,household or phone survey,"{""non_spatial"": 1, ""admin_linked"": 1}",Uganda National Population and Housing Census 2014,
uganda refugee protection assessment update,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""unclear"": 1, ""admin_linked"": 1}",Uganda Refugee Protection Assessment Update,
uganda urban labor force survey,admin_linked,named area,district / sub-county,maybe — needs the survey's own geography,2,2,False,"household or phone survey, official statistics series","{""admin_linked"": 2}",Uganda Urban Labor Force Survey,
unemployment registry,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,True,registry / administrative database,"{""admin_linked"": 1, ""unclear"": 1}",unemployment registry,
unesco uis,non_spatial,no place,—,unknown,2,2,False,"named source, family not stated","{""non_spatial"": 2}",UNESCO UIS data,
unhcr/ocha reports,unclear,place not stated,—,unknown,2,2,False,"named source, family not stated","{""unclear"": 2}",UNHCR/OCHA reports,
unhs ( ),unclear,place not stated,—,maybe — needs the survey's own geography,2,1,True,household or phone survey,"{""non_spatial"": 1, ""unclear"": 1}",UNHS (2016/17),
united nations human development index,non_spatial,no place,—,no — aggregate,2,2,False,"named source, family not stated","{""non_spatial"": 2}",United Nations Human Development Index,
unocha humanitarian needs overview,unclear,place not stated,—,unknown,2,2,True,monitoring / tracking system,"{""unclear"": 1, ""non_spatial"": 1}",UNOCHA Humanitarian Needs Overview,
urban land records,unclear,place not stated,—,maybe — needs the survey's own geography,2,1,False,"named source, family not stated","{""unclear"": 2}",urban land records,
vital registration system,admin_linked,named area,country only,maybe — needs the survey's own geography,2,2,False,"household or phone survey, registry / administrative database","{""admin_linked"": 2}",vital registration system,
wash poverty diagnostic,admin_linked,named area,province / region / state,maybe — needs the survey's own geography,2,2,False,"named source, family not stated","{""admin_linked"": 2}",WASH Poverty Diagnostic,
